turbulence_intensity,wind_speed,wind_direction
0.12,5.8452152396831,265
0.12,5.88522697878972,260
0.12,6.02526806566291,255
0.12,6.08528567432285,250
0.12,6.14530328298279,246.483666666667
0.12,6.18531502208941,248.583666666667
0.12,6.34536197851591,249.183666666667
0.12,6.3253561089626,251.383666666667
0.12,6.10529154387616,250.983666666667
0.12,6.10529154387616,251.783666666667
0.12,6.10529154387616,249.683666666667
0.12,6.20532089164272,250.583666666667
0.12,6.0052621961096,250.983666666667
0.12,6.02526806566291,251.383666666667
0.12,6.28534436985598,250.283666666667
0.12,6.24533263074935,252.983666666667
0.12,6.20532089164272,255.883666666667
0.12,6.3253561089626,256.183666666667
0.12,6.3253561089626,253.483666666667
0.12,6.42538545672916,258.483666666667
0.12,6.38537371762254,255.083666666667
0.12,6.3253561089626,253.083666666667
0.12,6.3253561089626,255.283666666667
0.12,6.36536784806923,255.583666666667
0.12,6.26533850030266,256.283666666667
0.12,6.38537371762254,259.783666666667
0.12,6.52541480449573,258.583666666667
0.12,6.46539719583579,257.783666666667
0.12,6.6454500218156,254.783666666667
0.12,6.72547350002885,259.783666666667
0.12,6.46539719583579,260.883666666667
0.12,6.44539132628248,265.883666666667
0.12,6.36536784806923,266.683666666667
0.12,6.18531502208941,266.583666666667
0.12,6.44539132628248,263.183666666667
0.12,6.44539132628248,263.783666666667
0.12,6.38537371762254,262.183666666667
0.12,6.50540893494241,262.683666666667
0.12,6.36536784806923,261.783666666667
0.12,6.40537958717585,263.283666666667
0.12,6.44539132628248,266.383666666667
0.12,6.56542654360235,266.483666666667
0.12,6.44539132628248,266.883666666667
0.12,6.42538545672916,266.483666666667
0.12,6.44539132628248,264.783666666667
0.12,6.44539132628248,263.183666666667
0.12,6.36536784806923,262.683666666667
0.12,6.28534436985598,262.683666666667
0.12,6.50540893494241,266.383666666667
0.12,6.40537958717585,269.183666666667
0.12,6.30535023940929,265.983666666667
0.12,6.28534436985598,263.083666666667
0.12,6.26533850030266,263.883666666667
0.12,6.30535023940929,261.683666666667
0.12,6.38537371762254,265.083666666667
0.12,6.50540893494241,266.783666666667
0.12,6.20532089164272,265.383666666667
0.12,6.38537371762254,262.483666666667
0.12,6.42538545672916,266.183666666667
0.12,6.36536784806923,268.683666666667
0.12,6.24533263074935,269.483666666667
