turbulence_intensity,wind_speed,wind_direction
0.12,6.12529741342947,19.1652
0.12,6.1653091525361,18.1652
0.12,6.08528567432285,18.6652
0.12,6.08528567432285,15.5652
0.12,6.02526806566291,18.0652
0.12,6.08528567432285,17.0652
0.12,6.06527980476954,16.1652
0.12,6.06527980476954,13.9652
0.12,6.0052621961096,15.6652
0.12,6.02526806566291,14.5652
0.12,6.0052621961096,13.0652
0.12,6.0052621961096,14.8652
0.12,5.98525632655628,10.3652
0.12,5.98525632655628,11.4652
0.12,5.94524458744966,10.3652
0.12,5.98525632655628,12.5652
0.12,5.90523284834303,13.3652
0.12,5.98525632655628,14.3652
0.12,6.04527393521622,15.4652
0.12,6.04527393521622,18.7652
0.12,6.04527393521622,19.0652
0.12,6.12529741342947,19.4652
0.12,6.10529154387616,21.5652
0.12,6.10529154387616,20.8652
0.12,6.12529741342947,22.6652
0.12,6.20532089164272,22.5652
0.12,6.14530328298279,22.2652
0.12,6.18531502208941,21.6652
0.12,6.1653091525361,20.3652
0.12,6.12529741342947,21.8652
0.12,6.20532089164272,23.0652
0.12,6.10529154387616,22.6652
0.12,6.10529154387616,21.9652
0.12,6.14530328298279,22.6652
0.12,6.12529741342947,22.9652
0.12,6.08528567432285,20.8652
0.12,6.04527393521622,19.3652
0.12,6.10529154387616,20.6652
0.12,6.04527393521622,18.0652
0.12,6.04527393521622,19.9652
0.12,6.06527980476954,18.9652
0.12,6.0052621961096,16.7652
0.12,5.98525632655628,13.6652
0.12,5.92523871789635,11.1652
0.12,5.90523284834303,14.0652
0.12,5.92523871789635,9.56519999999998
0.12,5.98525632655628,13.0652
0.12,5.94524458744966,11.9652
0.12,5.92523871789635,10.3652
0.12,5.98525632655628,11.0652
0.12,5.90523284834303,12.4652
0.12,5.94524458744966,10.8652
0.12,5.88522697878972,9.6652
0.12,5.92523871789635,9.76520000000002
0.12,5.92523871789635,11.2652
0.12,5.98525632655628,11.6652
0.12,5.92523871789635,9.56519999999998
0.12,5.88522697878972,10.9652
0.12,5.88522697878972,9.46520000000001
0.12,5.86522110923641,10.9652
0.12,5.92523871789635,7.1652
0.12,5.98525632655628,9.1652
0.12,6.14530328298279,6.96520000000001
0.12,6.12529741342947,6.36519999999999
0.12,6.04527393521622,7.06519999999998
0.12,6.08528567432285,7.1652
0.12,6.08528567432285,7.36519999999999
0.12,6.12529741342947,6.46520000000001
0.12,6.12529741342947,5.86519999999999
0.12,6.18531502208941,4.86519999999999
0.12,6.18531502208941,3.26520000000002
0.12,6.30535023940929,3.56519999999998
0.12,6.22532676119604,4.1652
0.12,6.1653091525361,3.26520000000002
0.12,6.26533850030266,2.06519999999998
0.12,6.3253561089626,2.6652
0.12,6.28534436985598,2.96520000000001
0.12,6.3253561089626,2.76520000000002
0.12,6.36536784806923,2.26520000000002
0.12,6.3253561089626,-0.834800000000001
0.12,6.26533850030266,-1.8348
0.12,6.26533850030266,-1.63480000000001
0.12,6.26533850030266,-4.03479999999999
0.12,6.26533850030266,-4.43480000000002
0.12,6.30535023940929,-4.03479999999999
0.12,6.22532676119604,-4.3348
0.12,6.22532676119604,-3.93480000000002
0.12,6.1653091525361,-6.63480000000001
0.12,6.12529741342947,-5.63480000000001
0.12,6.1653091525361,-5.03479999999999
0.12,6.20532089164272,-4.3348
0.12,6.28534436985598,-4.63480000000001
0.12,6.18531502208941,-6.93480000000002
0.12,6.20532089164272,-4.73479999999998
0.12,6.28534436985598,-3.63480000000001
0.12,6.30535023940929,-4.23479999999998
0.12,6.34536197851591,-1.43480000000002
0.12,6.40537958717585,-1.43480000000002
0.12,6.40537958717585,-0.634800000000013
0.12,6.42538545672916,-1.63480000000001
0.12,6.36536784806923,-4.13480000000001
0.12,6.26533850030266,-5.13480000000001
0.12,6.30535023940929,-3.3348
0.12,6.34536197851591,-1.43480000000002
0.12,6.34536197851591,-1.03479999999999
0.12,6.26533850030266,-2.03479999999999
0.12,6.24533263074935,-3.23479999999998
0.12,6.20532089164272,-3.53479999999999
0.12,6.24533263074935,-3.3348
0.12,6.20532089164272,-3.43480000000002
0.12,6.1653091525361,-3.73479999999998
0.12,6.22532676119604,-3.73479999999998
0.12,6.18531502208941,-3.8348
0.12,6.18531502208941,-4.73479999999998
0.12,6.18531502208941,-5.03479999999999
0.12,6.08528567432285,-5.63480000000001
0.12,6.14530328298279,-4.43480000000002
0.12,6.08528567432285,-6.8348
0.12,6.02526806566291,-4.63480000000001
0.12,6.12529741342947,-4.63480000000001
0.12,6.20532089164272,-2.03479999999999
0.12,6.22532676119604,-0.434800000000024
0.12,6.18531502208941,-1.53479999999999
0.12,6.1653091525361,-3.93480000000002
0.12,6.18531502208941,-5.3348
